Height,Width,Weight,Cost,Transport
,11,985,23.36,
19,10,389,15.05,Roadways
37,22,44707,76.2,Roadways
34,7,1736,22.2,Roadways
21,,401,13.76,
20,10,5248,56.31,
23,16,2149,22.19,Airways
12,7,1246,22.33,
17,11,,87.61,
38,10,60753,38.76,
6,4,555,19.39,Airways
37,21,979,18.48,Airways
,6,,72.53,
8,5,93,15.55,
33,9,622763,79.61,Roadways
30,15,2814033,34.99,Airways
39,12,5910,63.89,Roadways
42,27,132949,33.69,
21,12,1455,24.4,Roadways
19,6,503,11.46,Roadways
41,14,13257,60.2,
35,11,11876,55.75,Waterways
27,7,427697,96.14,Airways
13,7,,20.84,
29,12,1610,14.98,Waterways
18,8,201534,68.01,Airways
21,11,414,19.68,Roadways
25,7,230991,65.73,
13,7,107,24.2,Waterways
27,13,,30.23,Roadways
20,,,28.9,Roadways
17,14,679,18.88,
25,8,16244,66.69,Waterways
5,3,130,18.32,Waterways
24,11,872255,99.56,Waterways
15,8,48643,33.55,Waterways
15,7,,15.92,
25,10,28714,70.06,Roadways
40,16,100032,88.48,Airways
35,8,,29.97,
17,8,168658,60.38,Roadways
19,11,330,13.41,
20,7,68305,86.19,Roadways
19,8,176,16.32,Roadways
,4,72,19.34,
33,18,5400692,84.07,
39,13,10641,94.8,Roadways
57,12,2400,24.87,Waterways
11,6,22371,67.02,Roadways
20,6,230,12.79,Waterways
43,28,26733,59.34,Airways
23,,1130,10.34,Airways
14,,128,23.22,
13,6,23587,83.96,
18,,7529,27.98,Roadways
46,14,6333,62.93,Airways
18,7,62139,94.79,
20,6,4831,19.94,Waterways
32,23,47698,56.84,
19,6,38134,62.06,Roadways
46,18,,19.59,Roadways
24,10,1231,16.7,Roadways
26,18,2581,14.18,Airways
23,10,12603,42.88,
29,11,1968,12.36,Airways
23,10,13122,98.91,Waterways
17,7,163,13.07,Airways
33,17,471,10.78,Waterways
26,14,,45.81,Airways
26,,26651,34.22,Airways
25,13,19103,38.01,
7,5,523,11.64,Roadways
18,6,188,21.53,Airways
26,8,13341,92.39,Roadways
20,8,5924,34.14,Roadways
,12,35844,86.08,Waterways
,13,2670,20.78,
12,8,26413,98.14,Roadways
26,12,758,15.95,
12,7,281,23.6,Waterways
38,19,1493,11.97,Waterways
29,12,5441,37.05,Waterways
30,11,,35.71,
7,4,55,20.16,Airways
29,10,721443,84.61,Waterways
17,6,39601,81.01,Airways
24,6,6600,96.66,Waterways
17,10,6269,43.05,
28,13,520,24.87,Roadways
31,16,1297749,38.56,Airways
27,16,20222,26.74,Roadways
14,6,53184,72.05,Roadways
22,8,327,13.33,Waterways
16,6,72140,81.91,Roadways
36,27,195972,48.1,Waterways
7,5,507,15.36,Roadways
6,5,332,23.67,Roadways
24,11,376200,36.23,Waterways
39,15,1112447,76.8,Airways
,16,9868,39.48,
19,11,195891,67.49,Roadways
33,24,7142,97.82,Roadways
37,23,6282937,79.54,
41,14,11500,81.93,
23,9,15798,53.05,Waterways
34,9,20740,63.23,Roadways
17,7,37714,48.29,Waterways
35,12,528,23.38,
5,3,25,19.61,
5,5,287,20.65,Roadways
48,14,79966,60.25,Roadways
22,15,1835465,42.11,Roadways
19,8,242570,91.34,Roadways
27,11,30736,38.28,Waterways
11,6,,63.55,
26,8,16443,53.88,Airways
27,7,3706,15.87,Airways
24,11,18100,92.29,Waterways
34,14,35630,73.53,Roadways
17,8,3473,10.55,Roadways
27,8,15609,60.59,Waterways
33,19,4180066,73.49,Roadways
27,6,2155,24.48,
33,17,,19.44,
47,22,10712360,59.69,Roadways
45,,,54.61,Waterways
13,6,366,22.73,Waterways
26,9,3059,12.59,Airways
36,12,4260,13.29,Roadways
46,25,197267,39.09,Roadways
23,13,36456,26.8,Roadways
35,14,35902,63.91,Airways
34,17,5804,57.66,Airways
21,6,,17.13,Roadways
35,22,1999905,35.08,Airways
16,7,103431,74.77,Waterways
4,,19,20.05,
23,11,27168,96.98,Roadways
6,4,1004,15.45,Roadways
6,5,80,13.3,Roadways
18,7,123,21.74,Airways
28,10,1218,22.43,Waterways
,6,43881,78.81,
18,8,1247,21.35,Roadways
13,,987,17.31,Roadways
25,6,549,22.16,
14,8,291,21.94,
23,9,2061,13.42,Waterways
11,6,237,18.36,Airways
30,19,6752022,67.77,Airways
42,10,4217,16.55,Airways
20,16,19222,85.02,Roadways
,,,24.1,Roadways
7,4,170,11.27,Waterways
16,7,56827,57.95,Roadways
47,21,14083967,52.17,Airways
19,7,236,22.65,Roadways
22,6,7407,74.31,
44,20,5965789,60.28,Airways
5,,81,10.68,Waterways
14,6,48185,35.42,Waterways
35,17,5080983,25.96,Airways
32,11,532,19.99,Waterways
4,3,113,16.24,Roadways
50,13,55850,30.52,
24,11,11676,65.24,
47,20,,16.56,
55,22,175420,62.32,Waterways
,17,21029,30.61,Airways
37,13,1556047,62.68,Airways
15,7,83378,73.61,Airways
16,7,5035,25.25,Roadways
27,12,1029,14.94,Airways
39,16,104029,42.3,
3,2,95,24.4,Airways
10,4,35,14.01,
18,,3973,18.5,
22,,831,20.38,Airways
5,4,27,23.38,Airways
29,10,1353,22.58,Roadways
10,5,7220,82.81,Airways
17,8,972,12.31,Roadways
29,9,,94.15,
21,13,432,11.85,Airways
16,7,409,16.41,Waterways
33,20,79196,30.87,Airways
37,13,1298703,72.27,Roadways
30,13,44019,92.57,Waterways
22,6,242,13.85,Roadways
26,7,400,14.2,Waterways
21,6,98362,34.45,
7,4,1985,14.01,Roadways
17,9,740,18.98,Waterways
35,12,1090924,32.6,Waterways
10,5,9568,47.52,Airways
23,12,387,23.83,Airways
11,7,1305,20.6,Roadways
20,6,3925,17.13,Airways
28,6,1810,16.18,Airways
9,4,2921,11.97,Airways
20,7,6634,86.44,
21,,3268,15.38,
26,8,326,20.85,Airways
29,8,304174,38.37,Airways
3,2,118,10.35,Waterways
12,6,578,20.93,
14,8,232,15.19,Waterways
13,8,2493,19.16,Roadways
11,8,,46.95,
27,7,,79.77,
,,384502,28.93,
5,,,19.42,Airways
12,6,57899,84.18,Airways
9,4,141,21.93,Roadways
19,10,514,16.3,
14,8,2042,13.71,
10,5,217,11.21,Roadways
4,4,54,10.06,Roadways
7,5,469,21.38,Roadways
,,173,14.37,Waterways
35,16,6462,83.44,
26,6,8014,67.21,
42,,142365,71.78,
10,4,814,10.54,Airways
23,12,22783,41.49,Roadways
45,9,3773,19.36,Airways
22,13,24368,82.08,Roadways
12,8,148,16.33,Roadways
,13,10515,99.59,Airways
,7,8979,90.33,Airways
42,15,,86.81,Roadways
10,5,474,12.22,
30,,279249,40.59,Airways
7,4,990,18.21,Airways
22,8,137531,80.33,Airways
19,8,5202,40.62,Roadways
25,8,,18.77,Waterways
31,12,637276,35.05,Waterways
7,5,626,11.43,Roadways
30,15,2546721,33.87,Roadways
11,7,415,20.41,Airways
25,9,250627,26.58,Roadways
35,19,12898,61.36,Roadways
25,,,66.02,Airways
40,17,55175,55.19,Airways
17,11,638,21.32,Roadways
28,12,,20.81,Waterways
16,7,1306,21.51,Waterways
4,3,,19.36,
3,2,11,21.03,Airways
8,,48,10.34,Roadways
64,19,1177,22.09,Airways
23,10,,12.43,Airways
51,19,7264,32,Waterways
18,14,1016406,50.88,Roadways
38,11,2272,23.94,
,6,4035,14.06,Airways
35,6,181579,54.85,Airways
34,,11900,76.7,Roadways
52,,17368,83.35,
14,6,3496,21.83,Roadways
20,8,115500,48.29,Roadways
31,13,1266851,43.24,Roadways
17,14,,37.18,Waterways
29,12,1249,24.01,Roadways
27,,2255801,88.52,Airways
18,7,89138,55.79,Airways
6,4,326,18.62,Roadways
26,11,539,24.84,Roadways
10,4,,24.6,Roadways
8,4,58,13.4,Waterways
17,8,431,21.62,Airways
32,16,728601,25.52,Roadways
21,10,256408,70.22,Waterways
37,25,145950,80.94,Roadways
37,6,22017,69.38,Airways
9,4,3867,22.71,
9,4,1105,13.14,Roadways
15,7,26777,27.87,Airways
21,11,3153,16.87,Roadways
46,,,86.75,Airways
17,13,1795,22.07,Airways
14,6,606,12.43,Waterways
43,23,5507,40.22,Waterways
9,4,382,15.69,Airways
22,6,63498,98.72,Roadways
42,18,115926,48.88,Waterways
28,17,1582139,94.99,Airways
30,10,14897,36.8,Roadways
49,28,9724016,50.49,Waterways
33,,997,12.43,Waterways
23,14,19812,53.36,Waterways
18,9,266,21.98,Airways
15,8,114831,78.35,Airways
,10,1205,10.46,
25,8,,59.81,
12,,28982,53.5,Roadways
37,22,13122717,93.75,Waterways
6,5,7062,41.52,Roadways
26,17,3092040,81.63,Waterways
25,8,2821,12.9,Roadways
51,23,11346,66.95,Airways
36,18,2744362,31.65,Airways
31,9,5640,95.32,Waterways
4,,804,22.3,Waterways
50,8,609,19.22,Airways
24,12,18901,85.18,Roadways
25,,,11.67,Airways
17,13,7024,27.18,Waterways
15,8,77353,87.68,
31,15,7131,86.76,Roadways
35,24,828,11.1,Waterways
30,17,,43.31,
22,8,820,23.62,Waterways
38,6,20006,84.72,Roadways
33,17,29044,49.53,Waterways
29,18,27571,63.86,Airways
21,10,,20.81,Airways
14,6,208,19.9,Airways
37,14,2835,24.16,Waterways
40,18,36011,79.88,
28,9,17627,72.91,Roadways
3,3,63,24.49,Airways
19,,7630,59.04,Airways
6,,333,21.94,
18,,,17.63,
32,16,713,18.11,Airways
23,15,798,17.37,Roadways
42,33,29282087,50.94,Roadways
28,13,31311,38.63,Airways
,6,576,13.7,
10,5,168,12.79,Roadways
15,6,67157,86.52,
15,7,90965,95.95,Airways
34,7,251,11.1,Roadways
20,7,120716,26.77,Airways
23,9,360,24.46,Airways
31,10,22370,43.3,
3,3,11,19.84,
37,23,143932,64.85,Waterways
44,28,158886,68.22,
6,5,2414,19.85,Roadways
39,13,14380,91.04,Roadways
34,9,23718,82.55,Waterways
18,6,1303,11.72,Roadways
29,13,2994,13.41,Roadways
20,7,9139,85.67,Airways
17,7,93846,45.02,
37,13,16342,57.14,
16,6,219,24.87,Airways
18,6,170,12.79,Airways
25,14,4551,14.13,Waterways
18,9,,40.69,Airways
21,,,82.39,Airways
25,17,715,20.28,Roadways
16,7,36532,78.7,Roadways
7,5,4182,22.18,
,5,7247,49.48,
10,4,58,10.41,Airways
17,,509780,62.32,Airways
23,12,1196,12.44,Roadways
9,4,708,23.79,Airways
19,14,265831,27.6,Roadways
29,7,537,24.94,Airways
19,8,117499,89.83,Roadways
19,8,102566,89.85,Roadways
,6,1032,12.06,
22,6,1624,12.92,Airways
22,11,1131,19.6,
12,8,3314,12.03,Waterways
21,15,,15.02,Waterways
14,6,993,23.44,Airways
43,14,1718,20.6,Waterways
41,17,3071,11.62,Waterways
33,17,38838,58.53,Roadways
,4,,20.85,Roadways
15,7,46622,62.8,
10,,9102,96.42,Roadways
41,9,1374,17.85,Airways
27,6,602,11.67,Waterways
15,6,361,12.49,
7,5,5827,69.49,Roadways
6,4,2541,13.75,Airways
24,8,1765,12.71,Roadways
9,4,166,21.07,Airways
19,7,207649,95.47,Airways
5,3,45,22.12,Roadways
27,12,577202,63.36,Waterways
5,4,10,15.49,Airways
20,11,8087,56.44,Waterways
3,3,284,11.13,Airways
19,8,2613,20.2,
11,6,143,23.26,
6,4,141,20.14,Airways
8,4,94,23.46,Airways
28,12,1097388,74.33,Airways
15,8,257,13.75,Airways
23,12,,13.08,Airways
24,7,549,14.98,Roadways
16,6,2226,17.91,Roadways
19,8,269,24.8,Waterways
26,9,1120,24.19,Airways
25,15,1926,20.72,Airways
20,8,9949,46.11,
20,12,511,16.8,Waterways
33,20,5589,42.87,Roadways
38,22,98032,53.73,
17,8,4475,23.11,Airways
19,7,93792,75.15,
,17,,82.28,Airways
22,9,,18.43,Airways
18,7,1405,22.24,Roadways
,5,112,15.29,
43,13,,82.72,
45,7,278003,71.77,
22,16,,79.03,Waterways
7,5,17,22.68,Roadways
22,6,84692,69.98,Roadways
,13,855,23.95,Waterways
3,2,13,22.18,Roadways
11,7,323,20.16,Airways
8,5,873,21.2,Airways
20,6,45873,99.04,Roadways
41,12,2904327,38.32,Airways
8,5,195,15.05,Airways
64,22,196552,47.54,Waterways
7,4,442,18.18,Roadways
11,8,4044,19.46,Waterways
19,6,,11.97,Waterways
37,12,222,16.16,Roadways
35,14,21259,39.25,Airways
12,7,228,22.86,Waterways
35,13,18824,97.81,Waterways
3,2,,18.72,
36,,,15.45,Airways
14,7,201,10.8,Roadways
7,4,88,20.28,Roadways
15,6,52906,25.22,Airways
6,5,4600,20.59,Airways
29,10,496,16.04,Airways
4,4,1628,15.32,Airways
54,26,441718,89.11,Waterways
11,7,2779,14.27,Roadways
20,6,178480,60.29,Airways
30,10,612057,37.38,Waterways
30,25,6065475,36.45,Airways
7,5,,21.67,Airways
31,10,774398,90.06,Roadways
7,5,666,15.69,Roadways
3,2,12,23.47,Roadways
20,10,389,20.79,Airways
17,7,210,15.43,Airways
14,7,143,16.27,
7,4,348,24.23,Airways
15,,466,11.57,Roadways
35,7,535573,59.79,Airways
24,9,19312,77.96,Airways
50,19,1878,14.38,Waterways
18,6,119,13.98,Waterways
23,20,3073571,78.66,Waterways
18,8,4351,23.09,Roadways
44,15,3764,14.58,Airways
21,10,,18.24,Airways
38,26,1333,22.11,Roadways
20,12,10751,94.58,Waterways
7,5,64,12.3,Airways
7,5,5012,76.46,Airways
12,7,342,12.14,Airways
26,6,115296,90.56,Airways
16,7,3723,18.72,Roadways
49,23,8239094,58.42,Roadways
8,5,799,16.54,Airways
21,8,269,23.23,Waterways
17,6,529,19.34,Airways
57,14,13473,61.88,Waterways
25,13,36781,41.55,
38,9,1169736,71.82,Waterways
15,6,507,12.94,Waterways
27,7,7711,93.99,Airways
13,8,4689,16.93,Roadways
25,12,40648,86.1,Waterways
12,7,,15.47,Roadways
17,8,340,20.73,Waterways
16,8,3792,18.25,Roadways
18,6,2657,22.66,
6,5,,18.24,
8,5,350,17.02,Roadways
39,19,1378,21.23,Airways
8,4,67,23.44,Waterways
24,11,210797,63.36,Airways
24,,2436,10.08,Airways
26,11,830,20.32,Roadways
27,16,775329,62.11,Roadways
11,7,534,24.4,Airways
,6,,24.94,
31,10,4770,24.01,
5,5,1864,11.44,Airways
19,6,1190,21.57,Airways
8,,163,15.96,Waterways
30,7,3411,18.65,Roadways
11,7,2786,20.84,
14,8,16115,62.97,Airways
32,19,2515578,91.24,
36,16,11476,88.23,Roadways
7,5,2845,19.46,Roadways
9,4,64,10.44,
18,,1175,22.53,Waterways
22,6,476,14.58,
14,6,2550,15.96,Airways
21,9,210898,38.86,Roadways
34,21,7285369,36.09,Airways
28,12,25684,36.15,Roadways
56,22,7791,69.1,Airways
3,2,76,24.58,Roadways
22,,9789,95.23,Airways
25,10,334109,70.11,Waterways
11,8,207,17.02,Roadways
20,6,81599,39.26,Airways
,11,68086,88.38,
33,8,432410,54.12,
3,2,26,16.79,Roadways
14,,72004,99.72,
39,13,32953,27.95,Airways
27,8,13585,51.43,Roadways
21,7,181531,90.11,Airways
44,10,43197,68.64,Roadways
6,4,320,22.77,Airways
10,4,60,22.61,Waterways
20,10,13465,75.75,Roadways
31,11,409345,52.32,Roadways
49,19,14460,52.02,Waterways
18,6,,17.69,Roadways
15,7,45507,87.51,Roadways
41,21,7511,34.53,Roadways
27,11,474,17.83,Waterways
35,6,2334,24.33,Roadways
42,16,11156,44.96,Roadways
16,6,2363,18.21,Waterways
34,21,15828,26.96,Roadways
16,6,1918,23.41,Airways
16,7,1046,15.85,
10,4,2989,16.47,Waterways
29,22,94774,75.64,Airways
15,6,1753,20.06,
13,,,38.94,Airways
21,11,6500,80.74,Roadways
9,5,9248,88.86,Roadways
28,15,58159,32.25,
33,14,25947,47.99,Roadways
11,8,2864,12.02,Airways
19,7,389,23.91,Roadways
6,4,2718,21.54,Airways
39,24,114056,66.06,
12,8,111,11.97,Roadways
19,,59541,85.74,Roadways
12,,84,19.05,Waterways
21,,1140,10.53,Waterways
19,8,308,21.19,Waterways
12,6,,12.76,
35,13,587,10.95,Waterways
6,5,51,19.03,Airways
22,10,337175,56.87,Waterways
25,14,11898,34.11,Waterways
5,4,237,18.88,Waterways
6,5,450,22.49,Roadways
22,8,374425,71.65,Airways
29,20,,36.35,
13,,,11.16,
17,8,,16.4,
27,8,558309,55.98,Waterways
4,3,,17.04,Roadways
45,21,5131637,83.26,Waterways
29,8,2264,10.77,Airways
19,15,10603,80.3,
23,14,7548,90.72,Waterways
24,6,199913,96.93,Roadways
40,26,27779,37.31,
7,5,280,19.98,
40,25,7454,96.62,Airways
7,5,627,20.07,
46,26,6107028,98.96,Roadways
24,11,483660,79.13,Roadways
8,5,51,24.99,Airways
10,5,93,17.43,Waterways
31,11,405792,61.29,Airways
38,8,657776,42.27,
,16,86578,52.13,
17,6,55632,34.46,
19,7,1632,21.62,Airways
31,17,61523,51.17,
5,5,192,12.02,Roadways
7,5,646,17.17,Airways
25,12,1284485,36.1,Airways
6,4,42,15.34,Roadways
27,15,342,18.98,
9,4,8782,67.19,
15,8,982,13.53,Waterways
4,4,151,22.73,
28,16,32588,90.5,Roadways
8,5,9736,71.3,Roadways
52,15,8227855,30.86,Waterways
56,34,26793635,95.25,
42,29,44587296,97.53,Roadways
37,,854,23.12,
11,7,252,13.52,Roadways
18,10,2770,15.29,
8,5,81,10.61,Airways
9,5,1615,24.74,Waterways
15,7,110,14.85,Waterways
17,,65593,99.81,Roadways
43,9,12382,81.38,Airways
9,5,220,19.5,Roadways
49,31,,78.74,Waterways
25,10,,21.73,Waterways
28,14,29873,82.1,Roadways
18,8,,82.25,Airways
8,4,44,10.9,Airways
31,17,,67.5,Airways
7,5,112,14.71,Roadways
11,8,827,20.2,Waterways
26,13,,75.79,Roadways
20,9,182870,32.72,Airways
17,9,8069,97.67,
18,6,49418,51.76,Airways
23,12,469,13.55,
12,8,86,23.41,Roadways
8,,59,10.43,
13,7,319,19.17,Roadways
20,8,472,20.26,Waterways
11,7,88,19.9,Airways
5,4,69,10.23,Roadways
9,5,48,15.75,
6,5,197,22.42,Airways
,6,,14.72,
7,5,99,17.86,Roadways
5,,2006,14.17,
12,6,272,18.01,Airways
29,8,228818,72.78,Waterways
29,14,5602,83.9,Airways
17,8,5220,44.66,Airways
20,12,310154,49.22,Roadways
36,20,50259,74.32,Airways
4,3,78,12.62,Roadways
21,12,,42.28,Roadways
27,12,923,10.88,Waterways
28,14,4267,11.97,Airways
33,24,1373,24.63,Roadways
38,16,2123,11.1,Waterways
12,7,406,11.63,Roadways
29,8,366,24.64,Roadways
24,14,4123,20.24,
20,12,2192,16.31,
22,13,1298546,34.45,
,11,2821,18.84,Roadways
15,8,189,17.02,
27,13,1084068,62.58,Roadways
37,10,515049,60.36,
51,24,146762,82.02,Waterways
39,20,44914,74.78,Waterways
33,10,27633,66.81,Roadways
17,11,6681,36.7,
26,11,1802,19.51,Roadways
11,8,1885,17.32,Airways
14,6,3168,19.57,Waterways
,,70492,73.92,
18,8,101218,62.93,Waterways
6,4,,17.39,
33,7,596,18,Airways
12,7,569,17.33,Waterways
29,12,921887,64.94,Airways
27,8,10095,86.32,Roadways
15,7,3746,14.81,
20,12,182528,96.31,Waterways
13,8,,19.41,Airways
27,,1768,24.56,
42,19,1505,11.69,Roadways
18,8,88937,47.78,
11,7,1197,18.64,Waterways
47,,2030,13,Roadways
30,7,255757,81.98,Roadways
8,4,91,10.85,Waterways
11,7,51594,95.27,Airways
13,6,,24.15,
28,14,1027336,77.68,Airways
19,8,,15.14,Roadways
41,16,2823,16.64,Waterways
9,5,161,20.95,Airways
,6,6144,67.36,
13,6,1913,20.78,Roadways
34,25,7472933,70.43,Airways
36,,19543,85.92,
24,12,21122,80.05,Airways
,20,,48.36,Roadways
19,16,8192,33.46,Airways
23,21,36002,99.47,
26,6,1430,22.07,Airways
15,8,239,20.82,Waterways
7,5,,22.09,Roadways
,,16283,40.19,
23,11,575,24.05,Airways
4,4,234,12.6,Roadways
,10,288400,99.16,
12,7,30870,44.56,Waterways
20,10,958,22.36,Roadways
26,12,629,11.15,Waterways
4,4,13,14.92,
17,10,995,23.21,Airways
30,12,3155,21.02,Waterways
3,2,,18.32,Waterways
40,26,18169592,77.98,Airways
,4,237,24.94,Airways
13,6,300,22.16,
22,8,1843,14.35,
32,,28817,58.97,Roadways
10,4,,14.3,
29,13,1455,20.55,Airways
21,10,,19.52,
29,8,7991,54.2,Airways
20,16,680,20.7,Roadways
18,,7082,32.12,
19,6,916,11.85,Roadways
13,8,71725,51.46,Waterways
10,,295,10.19,Roadways
10,5,54,23.75,Waterways
15,7,5263,57.29,Waterways
6,5,148,12.71,Roadways
18,6,79769,57.85,Roadways
36,25,102707,49.88,Airways
11,8,1054,23.68,Roadways
29,20,1210684,35.42,Roadways
30,13,433,23.31,Airways
42,17,3628805,61.24,Roadways
4,4,,10.79,
20,7,649,13.2,Roadways
5,3,204,19.15,Airways
33,17,12511,44.63,
12,6,420,21.69,Airways
22,7,687,17.88,Airways
7,5,,14.17,Roadways
24,,506206,62.54,
29,17,1612572,83.87,Roadways
38,12,73978,27.15,Airways
12,6,45723,98.81,Airways
,,67268,99.29,Waterways
18,9,2201,16.56,Roadways
26,9,1129,20.39,Airways
20,6,1136,13.91,Roadways
36,10,1596,17.09,Roadways
29,9,373961,36.11,Roadways
10,4,6711,95.45,Waterways
46,14,1173,12.34,Airways
29,6,2193,21.92,Roadways
27,13,41192,96.95,Roadways
10,4,79,16.57,Airways
10,4,657,12.16,
22,6,76992,77.21,Airways
35,20,,13.49,
16,6,532,20.42,Airways
37,10,2924,22.98,Waterways
13,8,1160,10.69,Roadways
3,2,32,11.74,Waterways
38,9,2169,20.45,
4,3,370,11.92,Airways
16,6,22767,50.89,Roadways
26,10,237,11.51,
23,9,904,17.85,Airways
31,12,682450,78.97,
20,12,1485,16.85,Roadways
10,4,10608,40.13,Roadways
11,8,320,16.93,Airways
43,8,456964,25.23,
25,10,1071,22.39,Roadways
36,,4849709,33.14,
11,7,291,12.48,Roadways
4,4,40,22.62,Roadways
29,15,23679,96.52,Waterways
36,14,948,19,Roadways
6,5,7399,57.8,Airways
21,7,4604,23.89,
12,7,3664,16.95,Waterways
10,4,59,15.74,
10,5,22100,25.81,
54,14,19089,55.08,
14,7,33889,66.28,Roadways
12,8,414,18.8,Roadways
9,5,9022,66.33,Roadways
32,13,4405,16.25,Airways
13,,21147,27.74,Airways
25,16,44696,25.05,Roadways
48,16,,71.25,Airways
4,3,49,24.24,
47,,4153015,58.73,Roadways
16,7,203,18.47,Airways
20,,214259,53.59,Waterways
12,6,321,11.58,
7,5,219,11.89,Waterways
12,6,529,11.41,Airways
15,7,,13.28,Airways
,3,505,12.03,
16,6,,22.55,Waterways
26,17,5941,77.32,
40,17,87060,29.75,Roadways
,7,673,15.01,Roadways
13,7,285,17.34,Airways
20,11,435856,26.69,Airways
8,5,677,20.68,Waterways
29,8,3048,14.48,Waterways
,16,938854,81.25,Airways
10,4,106,16.46,Waterways
38,22,1004,22.88,Roadways
15,6,44766,69.88,Airways
26,,13330,79.12,Waterways
21,8,177,24.09,
33,,1234634,63.38,
35,10,411694,96.08,Airways
32,11,1972298,25.04,
21,7,505,17.24,
11,7,319,16.54,Waterways
,12,872,19.01,
26,7,6831,77.01,Airways
17,6,278,13.45,
17,7,343,10.13,Waterways
34,,1371,11.05,
29,9,583676,48.71,Airways
15,7,,80.37,Airways
29,10,440660,39.71,Roadways
9,4,,92.16,
11,8,,91.41,Airways
6,4,742,16,Roadways
6,5,,12.9,Waterways
,,3639,24.07,
30,,,13.92,Roadways
31,19,39961,80.04,Waterways
14,8,2119,17.43,Airways
23,7,179,24.29,Airways
17,16,964,20.35,Airways
26,11,9830,31.76,Roadways
29,12,52314,63.45,Airways
28,11,1082957,54.61,Roadways
30,7,12637,25.7,Roadways
9,4,354,22.27,Airways
5,3,410,24.21,
25,7,10292,75.41,Roadways
,6,270,14.65,Airways
21,12,372,14.53,Airways
32,7,287,13.75,Roadways
53,,35948,95.63,Airways
36,11,55561,79.41,Airways
18,,555032,75.79,
32,9,458,16.62,Roadways
31,11,349796,45.79,Waterways
3,2,94,17.01,
9,5,7237,63.87,Airways
10,,225,21.2,Airways
21,11,16455,77.94,Airways
47,23,283304,53.27,Airways
11,8,450,23.66,Roadways
34,,11094,25.18,Airways
35,,36150,62.46,
17,10,153330,75.24,Waterways
37,15,115674,67.11,Airways
35,16,80780,32.58,
23,,2889895,89.63,Airways
46,20,1924,10.84,
12,7,31612,47.35,Airways
17,10,768,24.85,Waterways
7,5,4647,15.9,Airways
29,12,20525,91.05,Waterways
25,11,1377,20.12,
18,12,10983,33.11,Airways
17,9,58581,81.03,Waterways
5,4,,11.29,
10,5,314,21.14,Roadways
5,5,29,16.01,Airways
47,32,47544217,72.83,
6,5,409,21.52,Waterways
30,8,16417,72.57,Roadways
6,4,,22.09,Roadways
,32,36339,99.19,Roadways
31,15,6532,82.17,Airways
34,8,812,19.54,Airways
19,7,230,23.71,Waterways
7,5,,22.94,Waterways
,14,902,23.74,Roadways
20,12,397,19.91,Waterways
23,9,495810,84.02,Roadways
19,,289823,33.5,Waterways
23,10,15608,78.35,Airways
15,6,2016,14.69,
3,2,13,21.75,Airways
7,4,3816,19.28,Airways
24,16,28999,70.83,Roadways
35,10,822,24.37,Waterways
5,5,,12.89,Airways
7,5,186,17.08,Airways
44,26,17390,57.68,Roadways
16,7,409,13.25,Roadways
,22,12474924,96.07,Airways
27,13,434034,68.94,Roadways
12,7,1996,19.54,Roadways
13,,3071,13.54,
24,11,442,10.11,
9,5,310,21.89,Roadways
15,8,98,24.83,Waterways
16,6,440,20.35,Airways
12,6,656,17.22,Roadways
39,18,4143181,47.63,
22,11,2999,19.49,Roadways
34,13,1977,23.72,Airways
25,14,492,22.45,
21,6,3781,18.72,Roadways
40,18,10740646,90.61,Roadways
42,21,2618,24.65,Waterways
36,,2330,21.99,
,9,,11.46,Roadways
18,10,8441,86.97,Waterways
9,4,,15.01,Roadways
34,10,838953,49.91,Roadways
28,9,615929,49.03,Airways
9,4,785,24.03,
29,8,2002,23.37,
26,8,4796,19.02,Roadways
34,11,2261,20.13,Roadways
42,22,76361,90.88,Waterways
34,,2993,24.82,Roadways
16,6,1833,18.56,Roadways
9,4,4036,14.63,Airways
15,6,361,17.16,Roadways
22,10,608417,48.86,Waterways
12,6,84,12.07,Airways
17,11,1737,16.4,Airways
29,7,303,11.04,
8,5,65,14.63,Airways
20,,3961,23.21,Waterways
,,565,18.66,Roadways
5,,10,24.81,
18,7,355,22.78,Roadways
28,,583413,76.89,
23,13,1648,19.28,Roadways
24,20,3300030,30.4,Roadways
24,11,3525,17.76,Waterways
28,6,1347,10.22,Airways
32,15,8542,88.68,Waterways
38,8,,22.16,Waterways
13,6,130,23.68,Waterways
9,5,54,24.44,Airways
13,6,569,17.46,Waterways
5,3,17,11.33,Waterways
,13,,38.07,Roadways
28,11,16315,53.75,Airways
47,13,1030,24.92,Roadways
16,6,275,23.27,Airways
28,20,1026,16.36,Airways
9,4,2952,14.43,Roadways
19,6,146,10.87,
20,13,25485,79.18,Airways
15,,136,19.84,Waterways
35,8,207581,63.08,Airways
34,13,1105,18.12,
18,11,1208,23.75,Waterways
,6,,98.93,Waterways
20,12,417,20.8,Roadways
18,6,137,11.32,Waterways
15,6,4556,21.17,Waterways
12,7,439,15.71,Airways
30,8,210920,30.66,
,6,1921,14.96,Roadways
17,6,162,16.76,Waterways
,24,28901,79.72,Roadways
10,5,339,18.02,Airways
6,4,100,10.65,Airways
19,6,65232,73.48,Airways
41,18,37554,75.62,Waterways
33,10,18473,56.8,Roadways
29,13,1068371,51.02,Roadways
39,25,5872689,28.09,Airways
5,4,173,16.87,Airways
18,10,646,11.5,Roadways
26,8,10899,31.39,Airways
